Kode PTN,Nama Kampus,Kode Jurusan,Nama Jurusan,Jenjang,Portofolio,Peminat 2024,Daya Tampung 2024,Peminat 2025,Daya Tampung 2025,Link Detail
1171,"UNSRI",'11711030,"PETERNAKAN","Sarjana","Tidak Ada",106,22,131,29,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171030&jenis=0"
1171,"UNSRI",'11711031,"FARMASI","Sarjana","Tidak Ada",1206,24,1245,24,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171031&jenis=0"
1171,"UNSRI",'11711032,"TEKNIK GEOLOGI","Sarjana","Tidak Ada",308,20,503,21,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171032&jenis=0"
1171,"UNSRI",'11711033,"PSIKOLOGI","Sarjana","Tidak Ada",718,14,656,20,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171033&jenis=0"
1171,"UNSRI",'11711034,"ILMU TANAH","Sarjana","Tidak Ada",120,22,177,29,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171034&jenis=0"
1171,"UNSRI",'11711035,"AGRONOMI","Sarjana","Tidak Ada",149,22,157,29,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171035&jenis=0"
1171,"UNSRI",'11711036,"PROTEKSI TANAMAN","Sarjana","Tidak Ada",78,22,160,29,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171036&jenis=0"
1171,"UNSRI",'11711037,"GIZI","Sarjana","Tidak Ada",740,20,890,24,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171037&jenis=0"
1171,"UNSRI",'11711038,"KESEHATAN LINGKUNGAN","Sarjana","Tidak Ada",339,20,423,24,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171038&jenis=0"
1171,"UNSRI",'11711039,"EKONOMI PEMBANGUNAN","Sarjana","Tidak Ada",377,40,387,40,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171039&jenis=0"
1171,"UNSRI",'11711040,"ILMU HUKUM","Sarjana","Tidak Ada",1270,100,1233,100,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171040&jenis=0"
1171,"UNSRI",'11711041,"MANAJEMEN","Sarjana","Tidak Ada",1784,40,1481,40,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171041&jenis=0"
1171,"UNSRI",'11711042,"AKUNTANSI","Sarjana","Tidak Ada",1130,40,1214,40,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171042&jenis=0"
1171,"UNSRI",'11711043,"ADMINISTRASI PUBLIK","Sarjana","Tidak Ada",882,56,1081,60,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171043&jenis=0"
1171,"UNSRI",'11711044,"SOSIOLOGI","Sarjana","Tidak Ada",308,46,433,88,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171044&jenis=0"
1171,"UNSRI",'11711045,"PPKN","Sarjana","Tidak Ada",431,20,523,20,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171045&jenis=0"
1171,"UNSRI",'11711046,"PEND SEJARAH","Sarjana","Tidak Ada",285,20,384,20,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171046&jenis=0"
1171,"UNSRI",'11711047,"PEND EKONOMI","Sarjana","Tidak Ada",256,20,302,20,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171047&jenis=0"
1171,"UNSRI",'11711048,"PEND BHS, SATRA IND & DAERAH","Sarjana","Tidak Ada",476,20,532,20,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171048&jenis=0"
1171,"UNSRI",'11711049,"PEND BHS INGGRIS","Sarjana","Tidak Ada",424,20,469,20,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171049&jenis=0"
1171,"UNSRI",'11711050,"PENJASKES","Sarjana","Olahraga",193,22,255,33,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171050&jenis=0"
1171,"UNSRI",'11711051,"BIMB & KONSELING","Sarjana","Tidak Ada",570,20,763,20,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171051&jenis=0"
1171,"UNSRI",'11711052,"PGSD","Sarjana","Tidak Ada",1664,22,1744,24,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171052&jenis=0"
1171,"UNSRI",'11711053,"PAUD","Sarjana","Tidak Ada",200,20,232,20,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171053&jenis=0"
1171,"UNSRI",'11711054,"ILMU KOMUNIKASI","Sarjana","Tidak Ada",1003,60,831,56,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171054&jenis=0"
1171,"UNSRI",'11711055,"PENDIDIKAN MASYARAKAT","Sarjana","Tidak Ada",91,20,158,20,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171055&jenis=0"
1171,"UNSRI",'11711056,"ILMU HUBUNGAN INTERNASIONAL","Sarjana","Tidak Ada",458,50,364,60,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171056&jenis=0"
1171,"UNSRI",'11713057,"AKUNTANSI","Diploma Tiga","Tidak Ada",60,42,143,53,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171&prodi=171057&jenis=0"
